Genero	CRC25_kraken	CRC24_kraken	CRC09_kraken	CRC21_kraken	CRC22_kraken	CRC20_kraken	CRC04_kraken	CRC03_kraken	CRC02_kraken	CRC01_kraken	CRC18_kraken	CRC16_kraken	CRC32_kraken	CRC33_kraken	CRC06_kraken	CRC10_kraken	CRC05_kraken	CRC27_kraken	CRC13_kraken	CRC15_kraken	CRC11_kraken	CRC12_kraken	CRC07_kraken	CRC08_kraken	CRC28_kraken	CRC17_kraken	CRC30_kraken	CRC31_kraken	CRC19_kraken	CRC34_kraken	CRC26_kraken	CRC29_kraken	CRC23_kraken
Tepidimicrobium	6.12E-06	0	4.45E-06	0	0	2.31E-06	0	0	0	0	0	0	9.22E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.52E-06	0	0	3.89E-06
Tissierella	6.12E-06	2.89E-06	0	0	0	2.31E-06	0	0	0	0	0	0	0	0	4.90E-06	0	0	0	0	0	0	0	0	3.90E-06	0	0	0	0	0	0	0	0	3.89E-06
Parvimonas	4.08E-06	0	2.67E-06	0	1.09E-05	4.61E-06	0	0	8.03E-05	1.55E-05	0	0	3.69E-06	0	0	5.74E-06	1.20E-05	0	0	2.27E-06	0	3.74E-05	0	1.17E-05	0	0	6.89E-06	4.99E-06	0	2.61E-05	0	0	7.01E-05
Finegoldia	2.04E-06	0	3.56E-06	0	0	1.15E-05	0	7.89E-06	9.63E-06	6.19E-05	0	0	0	6.89E-06	0	5.74E-06	5.98E-06	0	8.29E-06	6.80E-06	1.22E-05	1.66E-05	0	1.17E-05	0	8.93E-06	2.76E-06	0	0	1.30E-05	1.07E-05	0	3.89E-06
Murdochiella	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.89E-06
Soehngenia	2.04E-06	0	0	0	0	0	0	0	0	0	0	3.54E-06	0	0	0	0	0	0	0	0	0	0	6.04E-06	0	0	0	0	0	0	0	0	0	0
Crassaminicella	0.000173423	1.16E-05	0.000151356	0.000161566	5.46E-06	0.003142363	5.55E-06	0.000228808	8.35E-05	0	0.000125639	1.06E-05	3.60E-05	0.001005458	0.000499953	9.76E-05	0.00169227	3.53E-06	0.000563899	0.001653065	0.000340521	0.000606554	0.000102617	0.001538917	1.81E-05	0.000267827	0.001242159	1.16E-05	1.71E-05	0.000338899	0.000383534	0.000261682	6.23E-05
Desulfotomaculum	0.000108134	0.000124182	3.65E-05	0.000232845	0.000120179	3.92E-05	0.000255482	0.000441836	0.000317866	0.000510709	0.000230338	0.000177218	6.09E-05	0.000247921	0.000245075	0.000453775	0.00025115	0.000134025	0.000464387	0.000117914	0.000547265	0.000294968	0.000428578	0.000264927	8.86E-05	0.000232117	0.000135107	9.81E-05	0.000154308	0.000319347	0.000209523	0.000323988	0.00016746
Desulfosporosinus	3.06E-05	2.02E-05	6.23E-06	2.85E-05	1.09E-05	1.38E-05	8.89E-05	6.31E-05	5.78E-05	6.19E-05	6.28E-05	2.48E-05	1.38E-05	3.79E-05	2.45E-05	6.32E-05	4.78E-05	1.76E-05	3.32E-05	3.40E-05	3.65E-05	6.65E-05	2.41E-05	2.73E-05	4.03E-06	3.12E-05	1.65E-05	9.98E-06	1.71E-05	1.96E-05	3.91E-05	4.98E-05	1.56E-05
Peptococcus	4.08E-06	2.89E-06	8.90E-07	0	0	1.15E-05	2.22E-05	1.58E-05	0.000183014	1.55E-05	5.23E-06	0	0	0	4.90E-06	5.74E-06	1.79E-05	0	1.66E-05	4.54E-06	0	8.31E-06	6.04E-06	0.000202592	0	0.000178552	1.93E-05	3.33E-06	0	5.87E-05	1.78E-05	0	7.79E-06
CandidatusDichloromethanomonas	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfitobacterium	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryptanaerobacter	2.04E-06	0	0	0	0	0	0	0	0	1.55E-05	0	0	0	0	0	0	0	0	0	2.27E-06	0	0	0	0	0	4.46E-06	1.38E-06	0	0	0	0	0	0
ChristensenellaceaeR-7group	0.000114255	1.44E-05	0.00016382	3.33E-05	3.82E-05	0.000468012	3.89E-05	2.37E-05	0.000433454	0.00015476	7.33E-05	1.77E-05	2.86E-05	5.17E-05	3.92E-05	0.000126368	7.18E-05	7.05E-06	0.000124389	5.67E-05	7.30E-05	0.000178643	1.21E-05	0.000494791	3.42E-05	0.000620466	8.13E-05	2.66E-05	0.00025718	0.00014338	0.000330265	7.48E-05	5.45E-05
Mogibacterium	1.63E-05	0	0.00027066	4.75E-06	0	1.61E-05	5.55E-06	0	1.93E-05	1.55E-05	0	0	0	1.72E-05	0	5.74E-06	0	0	3.32E-05	9.07E-06	0	4.15E-05	6.04E-06	3.90E-05	2.01E-06	8.48E-05	1.10E-05	1.66E-06	0	0.00016945	3.55E-06	0	0
FamilyXIIIAD3011group	1.22E-05	0	2.67E-06	0	5.46E-06	4.38E-05	5.55E-06	1.58E-05	6.10E-05	1.55E-05	0	0	0	6.89E-06	0	0	5.98E-06	0	8.29E-06	2.27E-05	1.22E-05	2.49E-05	0	2.73E-05	0	4.02E-05	3.17E-05	0	0	5.21E-05	2.84E-05	0	0
[Eubacterium]brachygroup	8.16E-06	0	1.25E-05	0	0	0.000248991	0	7.89E-06	3.21E-06	0	0	0	0	3.44E-06	4.90E-06	5.74E-06	5.98E-06	0	0	2.27E-06	0	8.31E-06	0	1.56E-05	0	8.93E-06	3.58E-05	1.66E-06	0	1.30E-05	1.42E-05	2.49E-05	0
[Eubacterium]saphenumgroup	8.16E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15E-06	0	3.90E-06	0	0	0	0	0	0	0	0	0
[Eubacterium]nodatumgroup	4.08E-06	0	6.23E-06	4.75E-06	0	9.22E-06	5.55E-06	0	0	3.10E-05	5.23E-06	0	9.22E-07	3.44E-06	0	5.74E-06	1.20E-05	0	0	9.07E-06	0	8.31E-06	0	0	0	6.25E-05	5.51E-06	0	0	1.96E-05	0	0	3.89E-06
FamilyXIIIUCG-001	2.04E-06	0	2.67E-06	4.75E-06	0	0	0	0	0	0	0	0	0	0	4.90E-06	5.74E-06	0	0	0	0	0	2.49E-05	0	3.90E-06	0	4.46E-05	4.14E-06	0	0	0.000110794	3.55E-06	0	0
Syntrophomonas	1.63E-05	2.89E-06	4.45E-06	0	0	5.76E-05	0	1.58E-05	1.28E-05	0	5.23E-06	7.09E-06	9.22E-07	1.38E-05	1.96E-05	0	1.79E-05	0	2.49E-05	2.04E-05	1.22E-05	4.57E-05	6.04E-06	3.51E-05	2.01E-06	1.34E-05	5.51E-06	4.99E-06	0	1.30E-05	7.10E-06	1.25E-05	1.95E-05
Dethiobacter	2.04E-06	0	8.90E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15E-06	6.04E-06	3.90E-06	0	0	0	0	0	0	0	0	0
Fusibacter	1.02E-05	0	8.90E-07	9.50E-06	0	3.23E-05	0	7.89E-06	3.21E-06	0	5.23E-06	0	0	0	4.90E-06	0	5.98E-06	3.53E-06	8.29E-06	6.80E-06	0	1.25E-05	6.04E-06	7.79E-06	0	0	6.89E-06	1.66E-06	0	0	3.55E-06	0	3.89E-06
Guggenheimella	2.04E-06	0	0	0	5.46E-06	4.61E-06	0	0	0	0	0	0	0	1.03E-05	4.90E-06	0	5.98E-06	0	8.29E-06	0	1.22E-05	4.15E-06	6.04E-06	3.90E-06	0	0	1.38E-06	0	0	0	3.55E-06	1.25E-05	0
DefluviitaleaceaeUCG-011	8.16E-06	2.89E-06	2.67E-06	0	0	2.07E-05	5.55E-06	0	3.21E-05	0	0	0	1.84E-06	3.44E-06	4.90E-06	5.74E-06	0	0	0	1.36E-05	0	1.66E-05	6.04E-06	2.34E-05	0	4.46E-06	9.65E-06	0	0	1.30E-05	7.10E-06	0	7.79E-06
Defluviitalea	4.08E-06	0	1.78E-06	0	0	2.31E-06	0	0	0	0	5.23E-06	0	0	0.000165281	0	0	0	0	0	4.54E-06	0	4.15E-06	0	0	0	4.46E-06	4.14E-06	0	0	6.52E-06	1.07E-05	0	0
Gracilibacter	6.12E-06	0	5.34E-06	0	0	6.22E-05	5.55E-06	7.89E-06	6.42E-06	0	0	0	0	1.03E-05	4.90E-06	0	0	0	8.29E-06	9.07E-06	0	8.31E-06	0	3.90E-06	0	4.46E-06	4.14E-06	0	0	0	1.78E-05	0	0
Acetobacterium	2.04E-06	0	0	0	0	6.92E-06	5.55E-06	7.89E-06	0	0	0	0	0	0	0	0	0	0	0	2.27E-06	0	0	0	0	2.01E-06	0	2.76E-06	0	0	0	0	0	0
Caldicoprobacter	6.12E-06	2.89E-06	7.12E-06	4.75E-06	0	3.23E-05	0	7.89E-06	9.63E-06	1.55E-05	1.05E-05	0	0	0	4.90E-06	0	1.79E-05	0	8.29E-06	9.07E-06	0	8.31E-05	6.04E-06	7.79E-06	0	0	2.76E-06	3.33E-06	0	0	2.84E-05	0	1.56E-05
Hydrogenispora	6.12E-06	0	8.90E-07	0	0	1.15E-05	0	0	6.42E-06	0	5.23E-06	0	0	0	0	0	0	0	0	1.13E-05	0	3.74E-05	0	0	0	0	4.14E-06	0	1.71E-05	0	0	0	0
Sulfobacillus	4.08E-06	0	0	4.75E-06	5.46E-06	0	5.55E-06	0	0	0	0	0	9.22E-07	3.44E-06	0	1.15E-05	5.98E-06	3.53E-06	0	2.27E-06	0	0	0	0	0	0	0	0	0	0	0	0	3.89E-06
Alkaliphilus	2.04E-06	0	0	0	0	4.61E-06	1.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66E-06	0	0	0	0	0
Carboxydocella	2.04E-06	2.89E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.98E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteinivorax	2.04E-06	0	1.78E-06	0	0	0	0	0	0	0	0	3.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38E-06	0	0	0	0	0	3.89E-06
Caloranaerobacter	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15E-06	0	0	0	0	0	0	0	0	3.55E-06	0	0
Caldicellulosiruptor	2.04E-06	0	8.90E-07	0	5.46E-06	2.31E-06	0	7.89E-06	6.42E-06	0	5.23E-06	3.54E-06	0	0	4.90E-06	5.74E-06	5.98E-06	7.05E-06	8.29E-06	2.27E-06	0	4.15E-06	0	3.90E-06	0	0	1.38E-06	0	0	0	7.10E-06	0	0
Caldanaerobacter	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus	0.020523085	0.002463417	0.012836744	0.009489641	0.00102698	0.074828818	0.004482039	0.006816891	0.006752244	0.008852297	0.003622581	0.002119523	0.000972308	0.010085567	0.003832976	0.003923145	0.01207312	0.000292738	0.006459959	0.031038619	0.014459971	0.037560655	0.00091752	0.027194028	0.000404616	0.012623591	0.040726546	0.004281804	0.001903129	0.047687014	0.020916787	0.004573209	0.007562953
Lactovum	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21E-05	0	0	0	0	0	0	0	0	0	0
Lactobacillus	0.017766679	0.000164613	0.028953455	0.000356396	0.000169342	0.004834582	0.000766445	0.001357066	0.001582908	0.000789278	0.000219868	0.000474943	7.20E-05	0.001236162	0.000421529	0.000390591	0.00073551	4.94E-05	0.000837556	0.00487983	0.004134895	0.005263726	0.000307852	0.001753197	7.05E-05	0.000674032	0.004898325	0.000944491	0.000137162	0.0064456	0.002127191	0.001183801	0.001285157
Pediococcus	2.04E-06	0	8.90E-07	0	0	2.31E-06	0	7.89E-06	0	0	0	0	0	3.44E-06	0	0	0	0	0	0	0	8.31E-06	0	0	0	0	1.38E-06	0	0	0	3.55E-06	0	0
Alkalibacterium	8.57E-05	0	1.34E-05	0	0	0.000119885	2.22E-05	0	6.42E-06	0	2.09E-05	0	0	3.44E-06	0	0	1.20E-05	0	1.66E-05	1.59E-05	0	4.99E-05	0	5.45E-05	0	0	1.24E-05	0	0	0	1.78E-05	0	3.89E-06
Dolosigranulum	4.08E-06	0	1.78E-06	0	0	9.22E-06	5.55E-06	0	0	1.55E-05	0	0	0	0	0	0	0	0	0	2.27E-06	0	4.15E-06	0	3.90E-06	0	4.46E-06	1.38E-06	0	0	0	0	0	0
Granulicatella	2.04E-06	0	2.67E-06	0	1.09E-05	6.92E-06	5.55E-06	1.58E-05	6.42E-06	1.55E-05	0	0	9.22E-07	3.44E-06	0	0	5.98E-06	0	0	6.80E-06	0	0	6.04E-06	3.90E-06	0	4.46E-06	1.38E-06	1.66E-06	0	0	7.10E-06	3.74E-05	3.50E-05
Weissella	4.69E-05	8.66E-05	1.69E-05	9.50E-05	0.000125641	1.84E-05	0.000161065	0.000284037	0.000160538	0.000278569	0.000183223	0.000148863	3.32E-05	8.95E-05	0.000166651	0.000195296	0.000191352	7.05E-05	0.00034829	7.94E-05	0.000243229	0.000149561	0.000325961	0.000187008	4.83E-05	0.000102667	3.58E-05	2.83E-05	6.86E-05	0.000149898	0.000124293	0.000174455	8.18E-05
Leuconostoc	2.86E-05	0	8.01E-06	0	0	1.84E-05	0	0	3.21E-06	1.55E-05	0	7.09E-06	0	3.44E-06	0	5.74E-06	0	0	0	0	0	0	6.04E-06	7.79E-06	0	0	0	1.66E-06	0	6.52E-06	0	0	0
Enterococcus	4.49E-05	5.20E-05	1.69E-05	7.13E-05	3.82E-05	5.30E-05	0.000227712	0.000102569	0.000205489	0.000170236	7.85E-05	5.32E-05	1.94E-05	3.79E-05	8.82E-05	0.000109136	0.000101656	5.29E-05	0.000116097	7.71E-05	0.000194583	0.000137098	0.000144872	3.90E-05	2.01E-05	7.14E-05	4.55E-05	2.83E-05	5.14E-05	7.82E-05	6.39E-05	4.98E-05	7.01E-05
Ignavigranum	4.08E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia	2.04E-06	0	0	0	0	9.22E-06	0	0	0	0	5.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.52E-06	0	0	0
Facklamia	2.04E-06	0	0	0	0	2.31E-06	0	0	0	1.55E-05	0	0	0	0	0	0	0	0	0	0	0	8.31E-06	0	0	0	0	0	0	0	0	0	0	0
Bacillus	0.000355007	0.000335002	0.000194982	0.000380156	0.000486177	0.000615562	0.00044987	0.001325507	0.000558674	0.001470224	0.000675308	0.000414689	0.000131917	0.000619803	0.000632294	0.000873087	0.000562097	0.000338589	0.001111212	0.000752836	0.001143177	0.001022002	0.000839048	0.000681799	0.000217406	0.000482089	0.000485283	0.000264391	0.000171453	0.001459873	0.000539788	0.000922118	0.000405019
Oceanobacillus	3.26E-05	0	3.56E-06	4.75E-06	0	3.46E-05	1.67E-05	0.000386606	0.00100497	4.64E-05	0	0	0	1.03E-05	0	2.30E-05	0	0	0	6.80E-06	3.65E-05	1.66E-05	1.21E-05	2.34E-05	4.03E-06	0	4.14E-06	6.65E-06	1.71E-05	1.96E-05	2.84E-05	0	1.17E-05
Geobacillus	6.12E-06	0	2.67E-06	4.75E-06	1.09E-05	9.22E-06	0	0	3.21E-06	1.55E-05	5.23E-06	3.54E-06	9.22E-07	0	0	5.74E-06	0	0	0	0	0	3.74E-05	0	1.17E-05	0	4.46E-06	1.38E-06	0	0	2.61E-05	0	0	3.89E-06
Anoxybacillus	6.12E-06	2.89E-06	8.90E-07	0	0	1.61E-05	1.11E-05	7.89E-06	9.63E-06	0	0	0	0	0	4.90E-06	1.72E-05	1.20E-05	0	8.29E-06	6.80E-06	1.22E-05	3.74E-05	6.04E-06	7.79E-06	2.01E-06	1.34E-05	5.51E-06	0	1.71E-05	6.52E-06	0	0	3.89E-06
Halobacillus	2.04E-06	0	1.78E-06	0	0	0	5.55E-06	0	0	1.55E-05	0	0	0	0	0	0	0	0	0	0	0	4.15E-06	0	0	0	0	1.38E-06	0	0	0	0	0	0
Marinococcus	2.04E-06	0	0	0	0	0	0	0	0	1.55E-05	5.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salsuginibacillus	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeribacillus	2.04E-06	0	8.90E-07	0	0	0	5.55E-06	7.89E-06	3.21E-06	1.55E-05	0	3.54E-06	9.22E-07	0	0	1.15E-05	5.98E-06	0	0	0	0	8.31E-06	0	7.79E-06	0	0	0	0	0	0	3.55E-06	1.25E-05	0
Staphylococcus	0.000285638	2.60E-05	0.000430028	2.85E-05	3.82E-05	0.001042075	6.66E-05	0.000102569	0.000122009	0.001454748	0.000109934	3.19E-05	1.48E-05	0.000316788	0.000107833	0.000252736	8.97E-05	1.76E-05	0.00015756	0.000138322	0.000194583	0.000274196	6.64E-05	0.000272719	2.21E-05	0.001325745	0.000107534	3.33E-05	8.57E-05	0.000534418	0.000493622	4.98E-05	0.000147988
Jeotgalicoccus	5.10E-05	2.89E-06	1.07E-05	0	0	9.22E-06	5.55E-06	0	1.93E-05	3.10E-05	5.23E-06	3.54E-06	0	0	0	0	0	0	0	4.54E-06	0	8.31E-06	0	3.90E-06	0	0	1.38E-06	3.33E-06	0	0	0	0	0
Salinicoccus	6.12E-06	1.16E-05	8.90E-07	4.75E-06	0.000125641	2.31E-06	1.11E-05	0	0	3.10E-05	0	0	0	1.03E-05	1.96E-05	0	1.20E-05	0	0	0	0	4.99E-05	0	3.90E-06	6.04E-06	1.34E-05	0	1.66E-06	0	0	4.26E-05	0	0
S31	4.08E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.46E-06	0	0	0	0	0	0	0
Lysinibacillus	0.00022239	0.000190604	4.90E-05	0.000289869	0.000333222	6.22E-05	0.000410992	0.001293947	0.000539409	0.001269036	0.000602019	0.000347347	0.000130072	0.000454522	0.00055387	0.000901806	0.000568076	0.000285684	0.00113609	0.000154195	0.000802656	0.000531773	0.001062391	0.000463623	0.000221432	0.000285682	7.86E-05	0.000113073	0.000188598	0.000469245	0.000387085	0.000785047	0.000272609
Kurthia	2.45E-05	0.000173277	1.34E-05	8.08E-05	5.46E-05	3.23E-05	0.00018328	0.000110459	0.00029218	0.000108332	7.33E-05	9.57E-05	3.14E-05	3.44E-05	0.000112735	4.60E-05	9.57E-05	2.47E-05	8.29E-05	0.000142857	0.00017026	0.00012048	0.000150908	9.74E-05	1.81E-05	7.59E-05	2.90E-05	2.00E-05	6.86E-05	6.52E-05	0.000117191	2.49E-05	5.45E-05
Psychrobacillus	2.04E-06	0	8.90E-07	0	0	0	0	0	0	0	0	7.09E-06	0	0	4.90E-06	0	0	0	8.29E-06	0	0	0	0	7.79E-06	0	0	0	0	0	0	0	0	0
Solibacillus	2.04E-06	0	0	0	5.46E-06	2.31E-06	0	7.89E-06	0	0	0	0	9.22E-07	3.44E-06	0	0	5.98E-06	0	8.29E-06	0	0	2.08E-05	0	7.79E-06	0	4.46E-06	0	0	0	0	0	0	0
Gemella	5.10E-05	0	1.69E-05	4.75E-06	5.46E-06	0.000106052	1.11E-05	1.58E-05	0.00037566	0	5.23E-06	1.42E-05	4.61E-06	2.41E-05	4.90E-06	5.74E-06	3.59E-05	0	0	1.13E-05	2.43E-05	2.91E-05	6.04E-06	1.17E-05	0	0	1.24E-05	6.32E-05	0	6.52E-05	1.07E-05	0	0.000159671
Brevibacillus	2.45E-05	5.78E-06	8.90E-07	4.75E-06	5.46E-06	5.07E-05	5.55E-06	7.89E-06	0	4.64E-05	1.05E-05	7.09E-06	2.77E-06	6.89E-06	0	5.74E-06	1.79E-05	3.53E-06	8.29E-06	4.54E-06	2.43E-05	3.74E-05	2.41E-05	1.95E-05	2.01E-06	1.79E-05	2.76E-06	0	0	1.96E-05	0	1.25E-05	1.17E-05
Paenibacillus	1.63E-05	8.66E-06	8.90E-06	1.43E-05	0	0.000129107	1.67E-05	3.16E-05	3.53E-05	6.19E-05	5.23E-06	3.54E-06	4.61E-06	3.79E-05	4.90E-06	1.72E-05	2.99E-05	3.53E-06	2.49E-05	2.72E-05	3.65E-05	4.57E-05	3.02E-05	1.95E-05	2.01E-06	3.12E-05	1.10E-05	8.31E-06	0	0.000104277	2.84E-05	1.25E-05	1.56E-05
Fontibacillus	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	9.22E-07	0	0	0	0	0	0	0	0	0	0	3.90E-06	0	0	0	0	0	0	3.55E-06	0	0
Exiguobacterium	1.43E-05	1.73E-05	3.56E-06	4.75E-06	1.09E-05	9.22E-06	5.55E-06	2.37E-05	1.93E-05	0	1.57E-05	1.06E-05	1.11E-05	1.72E-05	3.92E-05	2.30E-05	1.79E-05	2.82E-05	8.29E-06	1.13E-05	0	3.32E-05	4.23E-05	2.73E-05	1.21E-05	4.46E-06	6.89E-06	6.65E-06	0	6.52E-06	3.20E-05	1.25E-05	7.79E-06
Tumebacillus	4.08E-06	2.89E-06	0	0	0	1.61E-05	0	0	3.21E-06	0	0	3.54E-06	0	0	9.80E-06	0	5.98E-06	0	0	0	0	1.25E-05	0	0	0	0	0	6.65E-06	0	0	0	0	0
Alicyclobacillus	2.04E-06	0	0	0	0	0	0	0	0	1.55E-05	0	0	0	0	0	5.74E-06	0	0	0	0	0	0	6.04E-06	0	0	0	0	3.33E-06	0	0	0	0	0
Listeria	2.04E-06	0	0	0	0	0	0	0	0	0	1.05E-05	3.54E-06	9.22E-07	0	0	0	0	0	8.29E-06	0	0	0	0	3.90E-06	2.01E-06	0	0	3.33E-06	0	0	3.55E-06	0	7.79E-06
Pasteuria	2.04E-06	2.89E-06	8.90E-07	0	0	0	0	1.58E-05	3.21E-06	3.10E-05	5.23E-06	0	0	3.44E-06	0	5.74E-06	0	0	0	0	0	3.32E-05	6.04E-06	3.90E-06	0	0	0	3.33E-06	0	6.52E-06	7.10E-06	1.25E-05	0
Anaerosinus	0.001248646	3.47E-05	0.000236827	0.000128303	0.000180268	0.001872046	0.001294071	0.000189358	0.000475194	0.000263093	0.000214633	3.54E-05	1.57E-05	0.000609473	2.94E-05	9.76E-05	0.000263109	1.76E-05	0.000522436	0.001108846	0.000389167	0.025250931	5.43E-05	0.000405183	1.21E-05	0.000584756	0.000636934	0.001396783	6.86E-05	0.003532371	0.000436802	0.000199377	0.000926871
Selenomonas	0.001191518	0	0	9.50E-06	0	6.92E-06	0	0	1.93E-05	1.55E-05	0	0	0	0.000117074	0	0	0	0	0.000165853	3.63E-05	0	2.49E-05	0	3.90E-06	0	4.46E-06	2.34E-05	0.000487211	0	0.000580039	3.55E-06	0	0
Veillonella	8.37E-05	1.73E-05	5.61E-05	9.50E-06	5.46E-06	0.000115274	0.000588719	0	2.25E-05	0.000170236	1.57E-05	3.54E-06	1.84E-06	0.000712773	1.47E-05	5.74E-06	0	0	8.29E-06	0.000174604	4.86E-05	0.000274196	1.81E-05	1.95E-05	2.01E-06	8.93E-06	0.000150272	6.65E-05	0	9.78E-05	3.20E-05	2.49E-05	2.34E-05
Quinella	1.63E-05	2.89E-06	0	0	0	4.61E-06	0	7.89E-06	9.63E-06	0	5.23E-06	0	9.22E-07	0	1.47E-05	1.15E-05	2.39E-05	0	0	2.27E-06	1.22E-05	8.72E-05	0	0	0	0	1.38E-06	0	0	0	3.55E-06	0	0
Anaerovibrio	8.16E-06	0	8.90E-07	0	0	2.31E-06	0	0	3.21E-06	0	0	0	1.84E-06	0	0	0	0	0	0	0	0	3.32E-05	0	3.90E-06	0	0	2.76E-06	3.66E-05	0	6.52E-06	0	0	0
Dialister	6.12E-06	5.78E-06	1.78E-06	9.50E-06	2.19E-05	0.000493372	0	7.89E-06	0.00071279	0	5.23E-06	0	1.84E-06	1.72E-05	4.90E-06	1.72E-05	0	3.53E-06	8.29E-06	6.80E-06	2.43E-05	3.74E-05	1.81E-05	7.79E-06	4.03E-06	0	1.65E-05	2.66E-05	1.71E-05	0.000847248	0	2.49E-05	7.79E-06
Megasphaera	6.12E-06	5.78E-06	1.78E-06	4.75E-06	0	4.61E-06	1.11E-05	0	1.28E-05	0	0	0	9.22E-07	1.03E-05	0	0	5.98E-06	0	0	9.07E-06	1.22E-05	2.08E-05	0	3.90E-06	0	0	8.27E-06	4.99E-06	0	2.61E-05	3.55E-06	1.25E-05	0
Selenomonas4	6.12E-06	0	0	4.75E-06	0	4.61E-06	0	0	0	0	0	0	0	4.48E-05	0	5.74E-06	0	3.53E-06	0	0	0	2.91E-05	0	0	0	0	2.21E-05	8.31E-06	0	0.00014338	1.07E-05	0	0
Anaerospora	4.08E-06	0	8.90E-07	4.75E-06	0	2.31E-06	0	0	0	0	0	0	9.22E-07	0	0	0	0	0	0	0	0	0	0	3.90E-06	0	0	0	3.33E-06	0	0	0	0	0
Megamonas	2.04E-06	2.89E-06	0	0	0	2.31E-06	0.000111079	0	0	0	0	0	9.22E-07	3.44E-06	4.90E-06	0	5.98E-06	0	0	0	0	0.0260112	0	3.90E-06	0	0	0	3.33E-06	0	0	0	0	0
Selenomonas3	2.04E-06	0	0	1.90E-05	0	4.61E-06	5.00E-05	0	0	0	0	0	0	0.0001033	0	0	0	3.53E-06	0.000124389	9.07E-06	0	3.32E-05	1.21E-05	7.79E-06	0	0	4.14E-06	0.000793173	0	0.000619143	7.10E-06	0	0
Propionispora	2.04E-06	0	0	0	0	2.31E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66E-06	0	0	0	0	0
Succiniclasticum	1.84E-05	0	1.78E-06	0	0	3.23E-05	5.55E-06	1.58E-05	3.21E-06	3.10E-05	5.23E-06	3.54E-06	2.77E-06	6.89E-06	0	5.74E-06	0	0	2.49E-05	2.27E-06	1.22E-05	8.31E-06	2.41E-05	7.79E-06	8.05E-06	4.46E-06	0	4.99E-06	1.71E-05	5.21E-05	1.42E-05	1.25E-05	0
Phascolarctobacterium	4.08E-06	1.44E-05	4.45E-06	0	1.09E-05	0.000106052	9.44E-05	0	0.000109166	1.55E-05	0	0	0	0	1.47E-05	0	1.20E-05	3.53E-06	0	1.81E-05	8.51E-05	0.001395905	6.04E-06	0.000187008	4.03E-06	8.93E-06	9.65E-06	3.33E-06	1.71E-05	0.001068836	7.81E-05	0	3.89E-06
Succinispira	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalibaculum	8.16E-05	8.66E-06	3.47E-05	1.90E-05	1.64E-05	9.22E-05	3.89E-05	3.94E-05	2.25E-05	0	3.14E-05	3.54E-06	4.61E-06	1.38E-05	1.96E-05	3.45E-05	9.57E-05	1.06E-05	2.49E-05	5.67E-05	0	0.000265887	1.21E-05	4.29E-05	4.03E-06	1.79E-05	2.07E-05	1.50E-05	0	2.61E-05	2.49E-05	2.49E-05	1.56E-05
Turicibacter	4.69E-05	1.73E-05	8.90E-07	0	0	8.07E-05	0	0	3.21E-06	0	5.23E-06	0.000109875	0	1.38E-05	9.80E-06	0	1.79E-05	0	0	5.44E-05	0	8.31E-06	0	3.90E-06	0	0.000124986	5.10E-05	1.66E-06	0	0	2.13E-05	0	0
