Genero	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34
GCA-900066575	0	0.000428716	0	0.000309763	0.00028339	0.000429757	0	0.003114309	0	0	0	0	0.018021223	0	0	0.00044928	0	0.000658501	3.63E-05	0	0.001420821	0.000108421	0.000836266	0.000252842	0.000158515	0	0.000126239	0.000185935	0.000196877	0	0	0.003170031	0
GCA-900066755	0	0	0	0	0	0	0	0	0	0	3.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella	8.82E-06	4.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gordonibacter	1.32E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000486526	0	0
gut metagenome	0.001053745	0.000125757	0	0	0.000168944	0.000400119	0	0.000215455	6.68E-05	0	5.69E-05	0.000488216	0	0	0	0	0.002322557	0.004467678	6.06E-05	0	0.000149832	0	0.006603018	5.15E-05	0	0	0	0	0.000755752	0	0	0	0.000424653
Harryflintia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000688896	0	0	0.000635913	0	0	0	0	0	0	0	0	0	0	0	0.002895421	0	0
Helicobacter	3.09E-05	2.86E-05	0	0	4.90E-05	0	6.08E-05	0	0	3.72E-05	0	0	0	0	2.69E-05	0.000119808	0	0	3.03E-05	0.000126165	7.23E-05	0	0.000121955	1.40E-05	0	5.02E-05	3.44E-05	2.86E-05	0	0	0.000142398	2.07E-05	0
Holdemanella	0	0	0	0	0	0	0	0	0	0	0	0	0.000112795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003217914	0	0	7.08E-05
Holdemania	0	0	7.63E-05	0	0	0	0	0	0	0	0	0	0	0.000500766	0	4.49E-05	0	0	3.63E-05	0	0.008504262	0	0	0	0	0	0	0	1.91E-05	0	0	0	0
Howardella	0	0.000411567	0	0	0	0	0	0.002095793	0	0	0.000444854	0	0.003401213	0	0.003180949	0	0.002666034	0	3.63E-05	0.000109343	0.000945492	0	0	0.000880265	0	0.001488742	0	2.86E-05	0.00029214	0	0	0	0
Hungatella	0.009699749	0.001303297	0	0.005515497	0	0	0.000676076	9.79E-05	0.043382678	0.00082355	0	0.001074076	0.00025162	0.000259017	0	0	0	0	0	0	0	0	0	0.065195812	0.000163799	0.000351276	0	0	0.00576023	0	0	0.001061271	0.00071562
Hydrogenoanaerobacterium	0.001362374	0	0	0	0	0	0	0	5.65E-05	0	0	0	0	0	0	0.002044224	0	0	0	0.000639236	0	0	0	0	0	0	0	0	0	0	0	0	0
Ileibacterium	0	2.86E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	6.74E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestinimonas	0.002058992	0.00129758	0	0.001213237	3.81E-05	0	0.020039197	0.003506046	0	0.000452024	0.000936262	0.002591984	6.07E-05	0.002607434	0	0.003129984	0.00342659	5.07E-05	0.002743509	0.001623322	0.000139499	0	0.005975818	0	0.003730397	0	0	0	0.000831963	0	0	0.008855412	0.000534749
Johnsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000192958	0
Kocuria	0	0	0	0.001015333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnoanaerobaculum	0	0.008557171	0	0	0	0	0.000850792	0	0.013719528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158771	0.134296699	0	0.005430401	0
Lachnoclostridium	0.017265553	0.001349026	0.002776676	0.070935655	0.004599631	0	0.013384786	0.004655141	0.009389478	0.000142418	0.179146709	0.019794949	0.001284131	0.03485213	0.008344617	0.013104001	0.011056682	0.002411128	0.002525482	0.010867005	0.014120382	0.028589777	0.009198927	0.179045006	0.009933635	0.002174568	0.006931693	0.008502939	0.007043103	0.001000325	0.007060555	0.010633386	0.003275337
Lachnospira	0.003681496	0.003052458	0.367314558	0.027241907	0.029374418	0.000548311	0.052460461	0.009604085	0.000159231	0	0	0.008823399	0.001830755	0.017175682	0.006877727	8.99E-05	0.022007049	0.00744613	0.00482688	0.022028396	0.00364247	0.008673678	0.015558033	0	0.005267997	0	0.003167462	0.000157329	0.015845395	0.000337459	0.000213597	0	0
Lachnospiraceae FCS020 group	3.53E-05	0.000160054	0	0.000146277	0.000250691	0	0	0.00111645	0	0	9.31E-05	0.000257423	0.002082375	0	0	0	0.001725562	0	0.00159281	0	0	2.50E-05	0	0	0	0	0	0	0.000196877	0.000108469	0	0	0
Lachnospiraceae ND3007 group	0.000709845	0.001017486	0.017346596	0.001824158	0.000795671	0.00019265	0	0.011464835	0.000118139	0.006055878	0	0.0077582	0.000364416	0.006895599	0	0	0.002911375	0.002856882	0.00131422	5.89E-05	0.000935159	0.002426962	0.00867626	0	0.002340745	0	0.022045997	0	0.003994691	0.000108469	0.00606377	0	0
Lachnospiraceae NK4A136 group	0.006260747	0	0	0.002176943	0.003302578	0	0	0.001220914	0.000138685	0	0	0.001464649	0.101880211	0	0	0.001130688	0.003704643	0	0.001956189	0.000412139	0.000625161	0.002577083	0.007143106	3.75E-05	0	0	0	0.002438606	0.001619469	0	0.000355994	0.00085453	0.000546545
Lachnospiraceae UCG-001	0	6.86E-05	0.032618314	0	0.000452333	0	0	8.49E-05	7.19E-05	0	0	0	0.018298873	0.000299308	2.69E-05	0	0.000605173	0	0.002567876	0	7.23E-05	0	0.001829332	0	0.006969396	0	0	0.000157329	0.000978032	0	0	0	0
Lachnospiraceae UCG-002	0	9.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae UCG-003	0	9.72E-05	0	0	0	0	0	0.006169857	0	0	0	0	0	0	0	0	0.001643782	0	0.003682237	0	3.62E-05	0	0	0	0.008713066	0	0	0	0	0	0	0.000475505	0
Lachnospiraceae UCG-004	0.00038799	0	0.015439539	0.028110964	0.006032928	0.000296384	0.006616429	0.00273563	0.000159231	0.002365384	4.66E-05	0.004775642	0.00557903	0	0.000188063	0.000606528	0.007548312	6.08E-05	0.001931963	0.005206406	0.00443813	0.029940869	0.004216175	0.000810031	0.001183582	0	0.019555637	0.003032167	0.001575013	0.003049185	0	0.004355347	0.00276418
Lachnospiraceae UCG-008	5.29E-05	0.000234365	0.009626827	0.00125626	0.000583129	0	0	0.001664882	0	0	3.62E-05	0.002698504	0.00116266	0	0	0.00011232	0.000834158	0	0	0	0	0.003419431	0.0001568	0	0.000877119	0	0	0.00021454	0	0	0	0	0.000224123
Lachnospiraceae UCG-010	0.005229046	0.006573645	7.63E-05	0	0	0.000548311	0.000182313	0.001690998	0.004340322	0	0.001443188	0.002148151	0.000138825	0.009813853	0	0.000501696	0.000965006	0	0	0.005223228	0.006949109	0	0.00512213	0	0.000929957	0.007360075	0.000390195	0	0.000635086	0	0	0.006650173	0.002614765
Lachnospiraceae XPB1014 group	0	0	0.000198334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus	0.002632159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lawsonella	0.000661347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptotrichia	0	0.092699825	0	0.006651293	0	0	0.002605551	0	0.130466495	1.24E-05	0	0	0.030394003	0.004668056	0	0	0	0	0	0	0	0	0	0	0.001500613	0	0	0	0	0.422474781	0	0.001674603	0.001030178
Marmoricola	0	0	0.000137308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marvinbryantia	0	0.000611635	0	0	0.000931916	0	0	0.001841164	0	0	0	0.000310683	0.001336191	0	0	4.49E-05	0	0	0	0	0.000108499	0	0	0	0	0	0	0	0	0	0	0	0
Megamonas	0	0	0	1.72E-05	0	0	0	0	0	0	0	0.000381696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megasphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.97E-05	0	0	0	0	0	0	0	0	0	0
Merdibacter	0	0	0	0	0.000163494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metagenome	0	0	0	0	0	0.006120332	0	0	0	0	0	0	0	0	0	0	0.007106699	0	0	0.000185042	0	0	0	0	0	0	0	0	0	0	0	0	0.001572791
Methanobrevibacter	0	0	0.006697586	0	0	0	0	9.79E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium	0	0	0.000366155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylorosula	0	0	0.003081805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobiluncus	0	0.000302959	0	0	0	8.89E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001359084	0	0	0	0
Mogibacterium	0.000471761	0	0	0	0	0	0	1.96E-05	0.001273846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moryella	0.000727481	0	0	0	0.000245241	0.001748666	0	0.000522316	6.16E-05	0	0	0.001517909	0	0.000765538	0	0.000142272	0	0.000364708	5.45E-05	0.000664469	0.001906484	0.005204207	0.001567999	0	0	0	0	0	8.89E-05	0.00068697	0	0	0.000184803
Mucispirillum	0	0	0	1.72E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculum	0	0	0	0	0	0	1.52E-05	0.000894466	0	0	1.03E-05	0	0.023097013	0	0	0	0	5.07E-05	0	0	0	0	5.23E-05	0	0	0	6.89E-05	0	0	0	0	0	0
Mycobacterium	0	0	7.63E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Negativibacillus	0.006944138	0	0	0	0	0	0	0.000235042	0	0.009108585	0.000910398	0.000221916	0	0.009048315	0	0.008259265	0.000188094	4.05E-05	0.004003222	0.000109343	0	0.00338607	0.001167288	0	0	0.000669098	0	5.72E-05	0.002127538	0	0.010406902	0	7.86E-05
Nocardioides	0	0	0.001418851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium	3.97E-05	0.000365838	0	0.004655045	0.000239791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odoribacter	0.194277148	0.003995633	0	0.00321809	0.003874807	0.001348548	3.80E-05	0.006267791	8.22E-05	9.29E-05	0.019314925	0.000639119	0.010646144	2.88E-05	0.001810777	0.045369795	0.001463865	0.005571934	0.003209845	0.000815867	0.007853268	0.0021851	0.006603018	0.000280936	0.000110961	0	0.005439772	2.86E-05	0.000939927	0	0.00104425	0.008035339	0.000125823
Olsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005152152	0	0	0	0	0	0	0	5.28E-05	0	0	0	0	0	0	0	0
Oribacterium	0	0.02863251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.23E-05	0	9.65E-05	0
Oscillibacter	0.00288788	6.86E-05	0	6.02E-05	0.000659426	0.001289271	0	0.000816119	2.57E-05	0.020303908	0.006450378	0.00034619	2.60E-05	0.001847652	0	0.005151744	0.000228985	0.000162093	0.002095484	0	0	0.00109255	0.000174222	0	0.006662933	0.000184002	0.00821704	0.002502968	0.029290164	0	0	0	0.000998722
Oscillospira	0.001141925	0	0	0	0	0	0	0	0	0	0	0	0	0.002503828	0	0.010932481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides	0.026229002	0.003635511	0.000656028	0.001127192	0.00652341	0.000859514	5.32E-05	0.000581076	2.57E-05	0.021765245	0.007521131	0.004749012	0.001240749	0.024422393	0.002256754	0.039866115	0.003099469	0.029713603	0.007691516	0.007376442	0.000402997	0.005954813	0.047353566	5.15E-05	0.00109904	0	0.000906629	0.001966618	0.001384487	0	0	0.000620223	0.001030178
Paraburkholderia tropica	0	0	6.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000138142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraprevotella	0	0.004984538	0	0	0	0.024748074	0	0	0	0	0.04308356	0.023629666	0	0	0	0	0	0	0	0	0	0	0.006864351	0.000224749	0	0	0.000229526	0	0	7.23E-05	0	0.000234307	0.001171729
Parasutterella	0	0	0	0	0	0	0	2.61E-05	0	0	0	0	0	0.000212969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvimonas	0.004272298	0.086514882	0	0	0.011918711	0.03787789	0.010103159	0	0	0.001065042	0	0	5.21E-05	0	0	0	0	0.000871248	0	0.000799045	0	0.029507185	0	0.000402675	0	0	0	0.001887953	0	0.000265146	0	0	0.000786395
Peptoclostridium	0	0	0	3.44E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptoniphilus	5.29E-05	0	0	0	0	0	0	0	0.005629578	0	0	0	0	0	0	0	0	0	0	0	0	0.003586232	0	0	0	0	0	0	0.000635086	0	0	0	0
Peptostreptococcus	0.000304219	0.032508103	0	0	0	0.000815056	0.002278908	0	0	3.72E-05	0	0	0	0	0	0	0	0	0	0.010959526	0.000154999	0.001434493	0	0	0	0	0	0	0.02689589	0.000482085	0	0	0.001549199
Phascolarctobacterium	0	0	7.63E-05	0	4.36E-05	0	0	0.000463555	3.60E-05	0	0.000165527	0	0	0.000264773	0	8.24E-05	0	0	0	1.68E-05	0	0	0.000226489	0	0	0	0	0	0	0	0	0	1.18E-05
Phocea	0	0	0	0	0	0	0	9.14E-05	0	0	4.14E-05	0	3.47E-05	0.000523789	0	0	0	0	0.000121126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pontibacter	0	0	0.000122052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas	0.038798995	0.030450266	0	0	0	0.002356254	0	0.002161082	0.141484236	0.000371526	0	0	0	0	0	0.00011232	0	0	0	0	0.00038233	0.023193748	0	0.002636113	0	0	0	0	0.062790949	0.000192834	0	0	0
Prevotella	0.007530532	0.288857386	0.004637964	0.005033644	0.074204466	0.000444576	7.60E-05	0	0.207950238	0.012433744	5.69E-05	0	0	2.30E-05	0	0	0	0	0.000127183	0.29235777	0.002857143	0	0.000557511	0	0.003112187	0.45453481	0	0.000350415	0.012727123	0.005411399	0	0.576731974	0.107685049
Prevotella 2	0	0	7.63E-05	0	0	0	0.000653287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016509986	0	0	0	0.080954045	0.000130531	0	0
Prevotella 6	0	0	0	0	0	0.000666864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018868404	0	0	0	0
Prevotella 7	0	0.002960998	0.003844628	0	0	0	0.010581729	7.83E-05	1.03E-05	0.003275623	0.002141505	0.078141228	4.34E-05	0	2.15E-05	0.066411076	0	0	0.277482028	0.082764189	2.58E-05	0	0.201087146	0	0.296587691	0.384898464	0	0	0	0.000192834	0.018784635	5.51E-05	0.214253416
Prevotella 9	0	0.011409561	0	0.000593712	0.004763124	0.595317131	0	0	0	0.005950612	0	0	0	0	0	0.000381888	0	0	0	0	0	0	0	6.56E-05	7.93E-05	0.000284367	0.076891296	0.62086474	0.000120666	0.000120521	0.000118665	0.000117153	0.39319768
Prevotellaceae UCG-001	0	0	0.000579746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae UCG-003	0	0	0.007490922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae UCG-004	0	0	0.00047295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudobutyrivibrio	0	0	0.002822445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudonocardia	0	0	0	0	0	0	0	0	0	0	0	0.002405575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pygmaiobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001505154	0	0	0	0
Rikenellaceae RC9 gut group	0	0	0.011823757	0.000120463	0.032224663	0	0	0.000692069	4.11E-05	6.81E-05	0.000108627	0.001393635	0.021005961	9.21E-05	6.45E-05	6.74E-05	0	4.05E-05	3.03E-05	4.21E-05	0	0	0.000121955	1.87E-05	8.45E-05	0.00013382	0.000103287	0	0	0.000108469	5.93E-05	6.20E-05	0.000605524
Romboutsia	0	0	0	0	0.019101546	0.026467101	0	0	0	0	0	9.76E-05	0	0.000218725	0	0.00014976	0	0	0.00471181	0.001783131	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseburia	0.002984877	0.00193208	0.016965185	0.013130496	0.005269956	0.027711915	0.012533994	0.000790003	0.001011886	0.010551345	0.000108627	0	0.01434236	0.013158046	0.179444194	0.012774529	0.011751813	0.023057675	0.00113253	0	0.001332989	0.003728013	0.029704868	0.010539771	0.036696327	0	0	0.005685313	0.002705466	0.012522146	9.49E-05	0.000392808	6.29E-05
Rothia	0	0	0	6.02E-05	0	0	0	0	0	0	0.000962125	0	0	0.000742514	0	0	0	5.07E-05	0	0	0	0	0.001411199	0	0.000655197	0	0	0	0	0	0	0	0
Ruminiclostridium	0	0	0	0	0	0	0	0	0	0	0	0.00010652	0	1.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91E-05	0	0	0	0
Ruminiclostridium 1	0.000837706	0	0	0	0	0	0	3.26E-05	0	4.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000261333	0	0	0	0	0	0	0	0	0	0.000542613
Ruminiclostridium 5	0.00654733	8.00E-05	0	0.000249531	0.004665028	0.000266746	0	0.003721501	0	0.008303611	0.001360425	0.002378945	0.000711478	5.18E-05	0	0.005294016	0.01973356	3.04E-05	0.0024952	3.36E-05	0.000170499	0	0.002090665	0	0.010890011	0	0.000172145	0.013623296	0.001530557	0.001470358	0.000925585	0.000124045	0.00063698
Ruminiclostridium 6	5.73E-05	0.000834567	0	0	0.013248462	0.002504446	0	0.081500875	0.000226005	0.003461386	5.17E-05	0.00350628	0	0	0	0.041431107	0.012103468	0	0.001495909	3.36E-05	0	0	0.010610126	0	0.013325865	0	0	0.010491011	0.000469964	0	0	0	0.002398506
Ruminiclostridium 9	0.008094881	0.002040688	0.000869618	0.004663649	0.003128185	0	0.000531745	0.002154553	0.000462283	0.001417992	0.008457392	0.002192535	0.000668095	0.006273959	0	0.002793024	0.001439331	0.000597717	0.003706463	0.001732665	0	0.000942428	0.002421687	0.000196655	0.001944456	0.000267639	0.001285347	0.006321782	0.000857366	0	0.000142398	0.005664707	0.001187457
Ruminococcaceae NK4A214 group	0.005295181	0.000274378	0.013974918	2.58E-05	0.006812249	0.000251926	0	0.00242224	0.000118139	0.000625402	0.003201912	0.000381696	0.000572653	0	0	0.022696129	0.002805061	0.021923026	0.002743509	0.000571948	2.07E-05	0.004061616	0.017927454	0	0.004692057	5.02E-05	0.005118436	0	0.005906299	0	0.004805924	0	7.47E-05
Ruminococcaceae UCG-002	0.053882104	0.004887362	0.00047295	0.022388959	0.017188667	0.003719621	0	0.027212661	0.00187995	0.024551692	0.004215764	0.007154587	0.035070671	0	0	0.031636802	0.007711872	0.031780283	0.014165713	0.042315715	0.015856368	0.022993586	0.047231611	0.000449497	0.027613391	0.001973838	0.089962817	0.004791396	0.006560438	0.000470032	0.051191988	0.012459599	0.005874373
Ruminococcaceae UCG-003	0.002526344	0.000308675	0.000122052	0.002133921	0.003504221	0.000133373	0	0.00633961	0	0.00073686	0.000693144	0.001358129	0.010047461	0	0.000429858	0	0.001275771	0.001175171	0.000726757	0.000260741	0.000805993	0.000283563	0.011742569	0.000650834	0.007513632	0.015589977	0.004774146	0.00165911	0.003391359	8.44E-05	0.013017527	3.45E-05	0.001022314
Ruminococcaceae UCG-005	0.01331511	0.002572296	0.002898728	0.004672254	0.001683988	0.00130409	0	0.027630514	0.000477692	0.000222916	0.001401806	0	0.007071399	0.00018419	0	0.020240065	0.010680493	0.043116636	0.007770248	7.57E-05	0.001126324	0.003953195	0.018467542	4.68E-05	0.004522974	0	0.023698586	0.000529199	0.001060594	0	0.010845961	0	0
Ruminococcaceae UCG-008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.73E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000420722
Ruminococcaceae UCG-009	0	0.000102892	0	0	0	0	0	0.000346034	1.54E-05	0	0	0	0.000190884	0	0	0.000584064	4.09E-05	0	0.000102957	0	0	0	0.00087111	0	0.000110961	0	0	0	0.00022228	0	0	2.76E-05	0
Ruminococcaceae UCG-010	5.29E-05	0.003726971	0.014554664	8.60E-05	0.00244151	0	0	0.009950119	6.16E-05	0.001826671	0	0	0.002707088	0	0	0.002560896	0.001602892	0.000374839	0.000387604	0	0	0	0.005000174	0	0.006044722	0	0.015286449	2.15E-05	8.26E-05	0	0.000569591	0	0
Ruminococcaceae UCG-013	0.000714254	0.000148622	0	6.02E-05	0.002234418	5.93E-05	0	0.010792353	4.11E-05	0	0	0.001500155	0.015626491	0.006849552	2.15E-05	0.006469632	0.010222524	0.009826865	0.001586754	0	0.000408163	0	0.000209067	0	0.002060701	0	0	0.000207389	0.002178345	0	0	0.000565092	8.65E-05
Ruminococcaceae UCG-014	0	0.000342973	0.001662954	0	0	0	0	0.01130814	0.001910769	0.036929707	0	0.01081177	0	0.010775093	0	0	0.003475658	4.05E-05	0.000320985	0	0.000671661	0.012159829	0.028345935	0	0.005320835	0	0.000332813	0	0.000107965	0.004157979	0.009813578	0.000682246	0
Ruminococcus 1	0.022635686	0.003172498	0.031565618	0.000258136	0.000719373	0.000577949	0.010589326	0.015695594	0.000128412	0.020266756	6.72E-05	0	0.03426375	0	4.30E-05	0.008588737	0.001414797	0.010221966	0.01546782	0.012927699	6.20E-05	0.000417004	0.033380954	0	0.005775246	5.02E-05	0.00812523	0.010262168	0.016124832	0	0.012151274	0	0.000169075
Ruminococcus 2	0.01133107	0.006064902	0.001342569	0.00232322	0.037358373	0.003126852	0	0.004171999	0.00064206	0.051920791	0.000863844	0.00393236	0.004989024	0	0.000537322	0.03284237	0.028696669	0	0.002961536	0	0	0	0.008693683	0	0.007624593	0	0.003442894	0	0.001555961	0	0.041829336	0	0
S5-A14a	0.005850712	0	0	0	0	0.000118554	0	0	0	0.002179621	0	0	0	0	0	0	0	0.000364708	0	0	0	0	0	0	0	0	0	0	0.005226757	0	0	0	0
Sanguibacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.70E-05	0	5.74E-05	0	0	0	0	0	0
Scardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000114315	0	0	0	0
Selenomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000707022	0	0	0	0	0	0.000132573	0	0	0
Selenomonas 3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonas 4	0	0	0	0	0	0.000355661	0	0	5.65E-05	0.000167187	0	0	0	0	0	0	0	0	0	0.008503516	0	0	0	0	0.00140022	0	0	0	0.011926914	0	0	0.009709942	0.009008159
Sellimonas	0	0	0	0	0	0	0	0.000163224	0	0	0	0	0	0.000235993	0	0.000247104	0	0	3.63E-05	0	0	0	6.97E-05	0	0	0	0	0	3.18E-05	0	0	0	0
Senegalimassilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72E-05	0	0.000411829	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slackia	0	0.000668797	4.58E-05	0	0.001046361	0.00019265	0	0.002663811	0	0	0	0	0	3.45E-05	0	0	0.000817802	0.000233008	0	0.009075463	0	0	0.003449598	0	0	0	0	0.000564956	0	0	0	0.003307858	0.000149415
Solobacterium	0	0.005624753	0	4.30E-05	0	0	0	0	0.000210596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72E-05	0	0	0	0.000102231
Sphingobium	5.29E-05	8.00E-05	0.000823849	0.001299282	0.000495932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas	0	0	0.00025936	0	0.000256141	0.000103734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000177997	0	0
Sporobacter	0	0	0	0	0	0	0	0	0	1.86E-05	0.000129318	0	0	0	0	0	0	0	4.24E-05	0	0	0	0	0	0	0	0.000504958	0	0	0	0	0	0
Staphylococcus	0	0	0	0	0	0	0	0	0	0	8.79E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stomatobaculum	0	0	0	0	0	0	0	0	0	0	0.000181045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus	0	0	0.005049889	0.000258136	0	0	0	0.000104463	0	0	1.03E-05	0	0	0.000189946	0	0	0	0	0	0	0	5.00E-05	0	0	0	0	0	0	3.18E-05	0	0	0	0
Subdoligranulum	0.035108681	0.001331878	0.020886095	0.007468723	0.03173963	0.008802608	0.000676076	0.033526155	0.001104342	0.04947491	0.006817641	0.009879721	0.028537218	0.014481909	0.00260064	0.034010498	0.048143999	0.038061372	0.032498168	0.003347576	0.004541462	0.005662911	0.019321231	0.002046148	0.027476011	0	0.000321337	0.005277686	0.009030922	0	0.002942887	0.00015161	0
Succinatimonas	0.000365945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Succiniclasticum	0	0	0	0	0	0	0	4.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
